aspiration,body-style,bore,city-mpg,compression-ratio,curb-weight,diesel,drive-wheels,engine-location,engine-size,engine-type,fuel-system,fuel-type,gas,height,highway-mpg,horsepower,length,make,normalized-losses,num-of-cylinders,num-of-doors,peak-rpm,price,price_binned,stroke,symboling,wheel-base,width
std,hatchback,2.97,31.0,9.4,1876.0,,fwd,front,90.0,ohc,2bbl,gas,,50.8,38.0,68.0,-1.3005071699568325,dodge,118.0,four,two,5500.0,6377.0,Low,3.23,1.0,93.7,63.8
turbo,hatchback,3.03,24.0,7.6,2128.0,,fwd,front,98.0,ohc,mpfi,gas,,50.8,30.0,102.0,-1.3005071699568325,dodge,118.0,four,two,5500.0,7957.0,Low,3.39,1.0,93.7,63.8
std,hatchback,2.97,31.0,9.4,1967.0,,fwd,front,90.0,ohc,2bbl,gas,,50.6,38.0,68.0,-1.3005071699568325,dodge,148.0,four,four,5500.0,6229.0,Low,3.23,1.0,93.7,63.8
std,sedan,2.97,31.0,9.4,1989.0,,fwd,front,90.0,ohc,2bbl,gas,,50.6,38.0,68.0,-1.3005071699568325,dodge,148.0,four,four,5500.0,6692.0,Low,3.23,1.0,93.7,63.8
std,sedan,2.97,31.0,9.4,1989.0,,fwd,front,90.0,ohc,2bbl,gas,,50.6,38.0,68.0,-1.3005071699568325,dodge,148.0,four,four,5500.0,7609.0,Low,3.23,1.0,93.7,63.8
turbo,sedan,3.03,24.0,7.6,2191.0,,fwd,front,98.0,ohc,mpfi,gas,,50.6,30.0,102.0,-1.3005071699568325,dodge,148.0,four,?,5500.0,8558.0,Low,3.39,1.0,93.7,63.8
std,wagon,3.34,24.0,8.5,2535.0,,fwd,front,122.0,ohc,2bbl,gas,,59.8,30.0,88.0,0.19747620420176398,dodge,110.0,four,four,5000.0,8921.0,Low,3.46,-1.0,103.3,64.6
turbo,hatchback,3.6,19.0,7.0,2811.0,,fwd,front,156.0,ohc,mfi,gas,,50.2,24.0,145.0,0.07625211611956483,dodge,145.0,four,two,5000.0,12964.0,Low,3.9,3.0,95.9,66.3
std,hatchback,2.91,49.0,9.6,1713.0,,fwd,front,92.0,ohc,1bbl,gas,,50.8,54.0,58.0,-2.400182826131065,honda,137.0,four,two,4800.0,6479.0,Low,3.41,2.0,86.6,63.9
std,hatchback,2.91,31.0,9.2,1819.0,,fwd,front,92.0,ohc,1bbl,gas,,50.8,38.0,76.0,-2.400182826131065,honda,137.0,four,two,6000.0,6855.0,Low,3.41,2.0,86.6,63.9
std,hatchback,2.91,38.0,10.1,1837.0,,fwd,front,79.0,ohc,1bbl,gas,,52.6,42.0,60.0,-1.932604200671155,honda,101.0,four,two,5500.0,5399.0,Low,3.07,1.0,93.7,64.0
std,hatchback,2.91,30.0,9.2,1940.0,,fwd,front,92.0,ohc,1bbl,gas,,52.6,34.0,76.0,-1.932604200671155,honda,101.0,four,two,6000.0,6529.0,Low,3.41,1.0,93.7,64.0
std,hatchback,2.91,30.0,9.2,1956.0,,fwd,front,92.0,ohc,1bbl,gas,,52.6,34.0,76.0,-1.932604200671155,honda,101.0,four,two,6000.0,7129.0,Low,3.41,1.0,93.7,64.0
std,sedan,2.91,30.0,9.2,2010.0,,fwd,front,92.0,ohc,1bbl,gas,,54.5,34.0,76.0,-0.7723165004558245,honda,110.0,four,four,6000.0,7295.0,Low,3.41,0.0,96.5,64.0
std,wagon,2.92,30.0,9.2,2024.0,,fwd,front,92.0,ohc,1bbl,gas,,58.3,34.0,76.0,-1.3178248968257193,honda,78.0,four,four,6000.0,7295.0,Low,3.41,0.0,96.5,63.9
std,hatchback,3.15,27.0,9.0,2236.0,,fwd,front,110.0,ohc,1bbl,gas,,53.3,33.0,86.0,-0.4173030996436716,honda,106.0,four,two,5800.0,7895.0,Low,3.58,0.0,96.5,65.2
std,hatchback,3.15,27.0,9.0,2289.0,,fwd,front,110.0,ohc,1bbl,gas,,53.3,33.0,86.0,-0.4173030996436716,honda,106.0,four,two,5800.0,9095.0,Low,3.58,0.0,96.5,65.2
std,sedan,3.15,27.0,9.0,2304.0,,fwd,front,110.0,ohc,1bbl,gas,,54.1,33.0,86.0,0.2667471116773071,honda,85.0,four,four,5800.0,8845.0,Low,3.58,0.0,96.5,65.2
std,sedan,3.15,27.0,9.0,2372.0,,fwd,front,110.0,ohc,1bbl,gas,,54.1,33.0,86.0,0.2667471116773071,honda,85.0,four,four,5800.0,10295.0,Low,3.58,0.0,96.5,62.5
std,sedan,3.15,24.0,9.0,2465.0,,fwd,front,110.0,ohc,mpfi,gas,,54.1,28.0,101.0,0.2667471116773071,honda,85.0,four,four,5800.0,12945.0,Low,3.58,0.0,96.5,65.2
std,sedan,3.15,25.0,9.1,2293.0,,fwd,front,110.0,ohc,2bbl,gas,,51.0,31.0,100.0,-0.27876128469258793,honda,107.0,four,two,5500.0,10345.0,Low,3.58,1.0,96.5,66.0
std,sedan,3.63,15.0,8.1,4066.0,,rwd,front,258.0,dohc,mpfi,gas,,52.8,19.0,176.0,2.3621920628124546,jaguar,145.0,six,four,4750.0,32250.0,High,4.17,0.0,113.0,69.6
std,hatchback,3.03,30.0,9.0,1890.0,,fwd,front,91.0,ohc,2bbl,gas,,54.1,31.0,68.0,-1.1446476281368643,mazda,104.0,four,two,5000.0,5195.0,Low,3.15,1.0,93.1,64.2
std,hatchback,3.03,31.0,9.0,1900.0,,fwd,front,91.0,ohc,2bbl,gas,,54.1,38.0,68.0,-1.1446476281368643,mazda,104.0,four,two,5000.0,6095.0,Low,3.15,1.0,93.1,64.2
std,hatchback,3.03,31.0,9.0,1905.0,,fwd,front,91.0,ohc,2bbl,gas,,54.1,38.0,68.0,-1.1446476281368643,mazda,104.0,four,two,5000.0,6795.0,Low,3.15,1.0,93.1,64.2
std,sedan,3.03,31.0,9.0,1945.0,,fwd,front,91.0,ohc,2bbl,gas,,54.1,38.0,68.0,-0.47791514368477,mazda,113.0,four,four,5000.0,6695.0,Low,3.15,1.0,93.1,64.2
std,sedan,3.08,31.0,9.0,1950.0,,fwd,front,91.0,ohc,2bbl,gas,,54.1,38.0,68.0,-0.47791514368477,mazda,113.0,four,four,5000.0,7395.0,Low,3.15,1.0,93.1,64.2
std,hatchback,3.39,26.0,8.6,2385.0,,fwd,front,122.0,ohc,2bbl,gas,,53.7,32.0,84.0,0.4745598341039339,mazda,129.0,four,two,4800.0,8845.0,Low,3.39,1.0,98.8,66.5
std,sedan,3.39,26.0,8.6,2410.0,,fwd,front,122.0,ohc,2bbl,gas,,55.5,32.0,84.0,0.4745598341039339,mazda,115.0,four,four,4800.0,8495.0,Low,3.39,0.0,98.8,66.5
std,hatchback,3.39,26.0,8.6,2385.0,,fwd,front,122.0,ohc,2bbl,gas,,53.7,32.0,84.0,0.4745598341039339,mazda,129.0,four,two,4800.0,10595.0,Low,3.39,1.0,98.8,66.5
std,sedan,3.39,26.0,8.6,2410.0,,fwd,front,122.0,ohc,2bbl,gas,,55.5,32.0,84.0,0.4745598341039339,mazda,115.0,four,four,4800.0,10245.0,Low,3.39,0.0,98.8,66.5
std,hatchback,3.39,26.0,8.6,2425.0,,fwd,front,122.0,ohc,2bbl,gas,,55.5,32.0,84.0,0.4745598341039339,mazda,115.0,four,four,4800.0,11245.0,Low,3.39,0.0,98.8,66.5
std,sedan,3.76,19.0,8.0,2670.0,,rwd,front,140.0,ohc,mpfi,gas,,54.4,27.0,120.0,0.23211165793953553,mazda,118.0,four,four,5000.0,18280.0,Medium,3.16,0.0,104.9,66.1
turbo,sedan,3.58,22.0,21.5,3515.0,,rwd,front,183.0,ohc,idi,diesel,,56.5,25.0,123.0,1.6088709440159352,mercedes-benz,93.0,five,four,4350.0,25552.0,High,3.64,-1.0,110.0,70.3
turbo,wagon,3.58,22.0,21.5,3750.0,,rwd,front,183.0,ohc,idi,diesel,,58.7,25.0,123.0,1.6088709440159352,mercedes-benz,93.0,five,four,4350.0,28248.0,High,3.64,-1.0,110.0,70.3
turbo,hardtop,3.58,22.0,21.5,3495.0,,rwd,front,183.0,ohc,idi,diesel,,54.9,25.0,123.0,1.3144695872448808,mercedes-benz,93.0,five,two,4350.0,28176.0,High,3.64,0.0,106.7,70.3
turbo,sedan,3.58,22.0,21.5,3770.0,,rwd,front,183.0,ohc,idi,diesel,,56.3,25.0,123.0,2.6219579658457377,mercedes-benz,93.0,five,four,4350.0,31600.0,High,3.64,-1.0,115.6,71.7
std,convertible,3.46,16.0,8.3,3685.0,,rwd,front,234.0,ohcv,mpfi,gas,,50.8,18.0,155.0,0.691031419965003,mercedes-benz,142.0,eight,two,4750.0,35056.0,High,3.1,3.0,96.6,70.5
std,hatchback,2.97,37.0,9.4,1918.0,,fwd,front,92.0,ohc,2bbl,gas,,50.8,41.0,68.0,-1.3005071699568325,mitsubishi,161.0,four,two,5500.0,5389.0,Low,3.23,2.0,93.7,64.4
std,hatchback,2.97,31.0,9.4,1944.0,,fwd,front,92.0,ohc,2bbl,gas,,50.8,38.0,68.0,-1.3005071699568325,mitsubishi,161.0,four,two,5500.0,6189.0,Low,3.23,2.0,93.7,64.4
std,hatchback,2.97,31.0,9.4,2004.0,,fwd,front,92.0,ohc,2bbl,gas,,50.8,38.0,68.0,-1.3005071699568325,mitsubishi,161.0,four,two,5500.0,6669.0,Low,3.23,2.0,93.7,64.4
turbo,hatchback,3.03,24.0,7.6,2145.0,,fwd,front,98.0,ohc,spdi,gas,,50.8,30.0,102.0,-1.3005071699568325,mitsubishi,161.0,four,two,5500.0,7689.0,Low,3.39,1.0,93.0,63.8
turbo,hatchback,3.17,23.0,7.5,2370.0,,fwd,front,110.0,ohc,spdi,gas,,49.4,30.0,116.0,0.058934389250680286,mitsubishi,153.0,four,two,5500.0,9959.0,Low,3.46,3.0,96.3,65.4
std,hatchback,3.35,25.0,8.5,2328.0,,fwd,front,122.0,ohc,2bbl,gas,,49.4,32.0,88.0,0.058934389250680286,mitsubishi,153.0,four,two,5000.0,8499.0,Low,3.46,3.0,96.3,65.4
std,sedan,3.35,25.0,8.5,2365.0,,fwd,front,122.0,ohc,2bbl,gas,,51.6,32.0,88.0,0.006981208644024202,mitsubishi,125.0,four,four,5000.0,6989.0,Low,3.46,1.0,96.3,65.4
std,sedan,3.35,25.0,8.5,2405.0,,fwd,front,122.0,ohc,2bbl,gas,,51.6,32.0,88.0,0.006981208644024202,mitsubishi,125.0,four,four,5000.0,8189.0,Low,3.46,1.0,96.3,65.4
turbo,sedan,3.17,23.0,7.5,2403.0,,fwd,front,110.0,ohc,spdi,gas,,51.6,30.0,116.0,0.006981208644024202,mitsubishi,125.0,four,four,5500.0,9279.0,Low,3.46,1.0,96.3,65.4
std,sedan,3.17,23.0,7.5,2403.0,,fwd,front,110.0,ohc,spdi,gas,,51.6,30.0,116.0,0.006981208644024202,mitsubishi,137.0,four,four,5500.0,9279.0,Low,3.46,-1.0,96.3,65.4
std,sedan,3.15,31.0,9.4,1889.0,,fwd,front,97.0,ohc,2bbl,gas,,54.5,37.0,69.0,-0.6077980952014115,nissan,128.0,four,two,5200.0,5499.0,Low,3.29,1.0,94.5,63.8
std,sedan,2.99,45.0,21.9,2017.0,,fwd,front,103.0,ohc,idi,diesel,,54.5,50.0,55.0,-0.6077980952014115,nissan,128.0,four,two,4800.0,7099.0,Low,3.47,1.0,94.5,63.8
std,sedan,3.15,31.0,9.4,1918.0,,fwd,front,97.0,ohc,2bbl,gas,,54.5,37.0,69.0,-0.6077980952014115,nissan,128.0,four,two,5200.0,6649.0,Low,3.29,1.0,94.5,63.8
std,sedan,3.15,31.0,9.4,1938.0,,fwd,front,97.0,ohc,2bbl,gas,,54.5,37.0,69.0,-0.6077980952014115,nissan,122.0,four,four,5200.0,6849.0,Low,3.29,1.0,94.5,63.8
std,wagon,3.15,31.0,9.4,2024.0,,fwd,front,97.0,ohc,2bbl,gas,,53.5,37.0,69.0,-0.18351378691371806,nissan,103.0,four,four,5200.0,7349.0,Low,3.29,1.0,94.5,63.8
std,sedan,3.15,31.0,9.4,1951.0,,fwd,front,97.0,ohc,2bbl,gas,,54.5,37.0,69.0,-0.6077980952014115,nissan,128.0,four,two,5200.0,7299.0,Low,3.29,1.0,94.5,63.8
std,hatchback,3.15,31.0,9.4,2028.0,,fwd,front,97.0,ohc,2bbl,gas,,53.3,37.0,69.0,-0.5818215048980846,nissan,128.0,four,two,5200.0,7799.0,Low,3.29,1.0,94.5,63.8
std,sedan,3.15,31.0,9.4,1971.0,,fwd,front,97.0,ohc,2bbl,gas,,54.5,37.0,69.0,-0.6077980952014115,nissan,122.0,four,four,5200.0,7499.0,Low,3.29,1.0,94.5,63.8
std,wagon,3.15,31.0,9.4,2037.0,,fwd,front,97.0,ohc,2bbl,gas,,53.5,37.0,69.0,-0.18351378691371806,nissan,103.0,four,four,5200.0,7999.0,Low,3.29,1.0,94.5,63.8
std,hardtop,3.15,31.0,9.4,2008.0,,fwd,front,97.0,ohc,2bbl,gas,,53.3,37.0,69.0,-0.8589051348002521,nissan,168.0,four,two,5200.0,8249.0,Low,3.29,2.0,95.1,63.8
std,hatchback,3.33,27.0,8.5,2324.0,,fwd,front,120.0,ohc,2bbl,gas,,54.7,34.0,97.0,0.09356984298845182,nissan,106.0,four,four,5200.0,8949.0,Low,3.47,0.0,97.2,65.2
std,sedan,3.33,27.0,8.5,2302.0,,fwd,front,120.0,ohc,2bbl,gas,,54.7,34.0,97.0,0.09356984298845182,nissan,106.0,four,four,5200.0,9549.0,Low,3.47,0.0,97.2,65.2
std,sedan,3.43,17.0,9.0,3095.0,,fwd,front,181.0,ohcv,mpfi,gas,,55.1,22.0,152.0,0.8122555080471996,nissan,128.0,six,four,5200.0,13499.0,Low,3.27,0.0,100.4,66.5
std,wagon,3.43,17.0,9.0,3296.0,,fwd,front,181.0,ohcv,mpfi,gas,,56.1,22.0,152.0,1.0633625476460402,nissan,108.0,six,four,5200.0,14399.0,Low,3.27,0.0,100.4,66.5
std,sedan,3.43,19.0,9.0,3060.0,,fwd,front,181.0,ohcv,mpfi,gas,,55.1,25.0,152.0,1.0633625476460402,nissan,108.0,six,four,5200.0,13499.0,Low,3.27,0.0,100.4,66.5
std,hatchback,3.43,19.0,9.0,3071.0,,rwd,front,181.0,ohcv,mpfi,gas,,49.7,25.0,160.0,-0.14021946974150423,nissan,194.0,six,two,5200.0,17199.0,Medium,3.27,3.0,91.3,67.9
turbo,hatchback,3.43,17.0,7.8,3139.0,,rwd,front,181.0,ohcv,mpfi,gas,,49.7,23.0,200.0,-0.14021946974150423,nissan,194.0,six,two,5200.0,19699.0,Medium,3.27,3.0,91.3,67.9
std,hatchback,3.43,19.0,9.0,3139.0,,rwd,front,181.0,ohcv,mpfi,gas,,49.7,25.0,160.0,0.5351718781450322,nissan,231.0,six,two,5200.0,18399.0,Medium,3.27,1.0,99.2,67.9
std,sedan,3.46,19.0,8.4,3020.0,,rwd,front,120.0,l,mpfi,gas,,56.7,24.0,97.0,1.2451986797693377,peugot,161.0,four,four,5000.0,11900.0,Low,3.19,0.0,107.9,68.4
turbo,sedan,3.7,28.0,21.0,3197.0,,rwd,front,152.0,l,idi,diesel,,56.7,33.0,95.0,1.2451986797693377,peugot,161.0,four,four,4150.0,13200.0,Low,3.52,0.0,107.9,68.4
std,sedan,3.46,19.0,8.4,3075.0,,rwd,front,120.0,l,mpfi,gas,,56.7,24.0,95.0,1.2451986797693377,peugot,161.0,four,four,5000.0,15580.0,Medium,2.19,0.0,107.9,68.4
turbo,sedan,3.7,28.0,21.0,3252.0,,rwd,front,152.0,l,idi,diesel,,56.7,33.0,95.0,1.2451986797693377,peugot,161.0,four,four,4150.0,16900.0,Medium,3.52,0.0,107.9,68.4
std,sedan,3.46,19.0,8.4,3075.0,,rwd,front,120.0,l,mpfi,gas,,56.7,24.0,97.0,1.2451986797693377,peugot,161.0,four,four,5000.0,16630.0,Medium,3.19,0.0,107.9,68.4
turbo,sedan,3.7,28.0,21.0,3252.0,,rwd,front,152.0,l,idi,diesel,,56.7,33.0,95.0,1.2451986797693377,peugot,161.0,four,four,4150.0,17950.0,Medium,3.52,0.0,107.9,68.4
turbo,sedan,3.61,18.0,7.0,3130.0,,rwd,front,134.0,l,mpfi,gas,,56.0,24.0,142.0,1.2451986797693377,peugot,161.0,four,four,5600.0,18150.0,Medium,3.21,0.0,108.0,68.3
std,hatchback,2.97,37.0,9.4,1918.0,,fwd,front,90.0,ohc,2bbl,gas,,50.8,41.0,68.0,-1.3005071699568325,plymouth,119.0,four,two,5500.0,5572.0,Low,3.23,1.0,93.7,63.8
turbo,hatchback,3.03,24.0,7.6,2128.0,,fwd,front,98.0,ohc,spdi,gas,,50.8,30.0,102.0,-1.3005071699568325,plymouth,119.0,four,two,5500.0,7957.0,Low,3.39,1.0,93.7,63.8
std,hatchback,2.97,31.0,9.4,1967.0,,fwd,front,90.0,ohc,2bbl,gas,,50.6,38.0,68.0,-1.3005071699568325,plymouth,154.0,four,four,5500.0,6229.0,Low,3.23,1.0,93.7,63.8
std,sedan,2.97,31.0,9.4,1989.0,,fwd,front,90.0,ohc,2bbl,gas,,50.8,38.0,68.0,-0.4346208265125562,plymouth,154.0,four,four,5500.0,6692.0,Low,3.23,1.0,93.7,63.8
std,sedan,2.97,31.0,9.4,2191.0,,fwd,front,98.0,ohc,2bbl,gas,,50.8,38.0,68.0,-0.4346208265125562,plymouth,154.0,four,four,5500.0,7609.0,Low,3.23,1.0,93.7,63.8
std,wagon,3.35,24.0,8.5,2535.0,,fwd,front,122.0,ohc,2bbl,gas,,59.8,30.0,88.0,0.19747620420176398,plymouth,74.0,four,four,5000.0,8921.0,Low,3.46,-1.0,103.3,64.6
std,hatchback,3.94,19.0,9.5,2778.0,,rwd,front,151.0,ohc,mpfi,gas,,50.2,27.0,143.0,-0.2960790115614725,porsche,186.0,four,two,5500.0,22018.0,Medium,3.11,3.0,94.5,68.3
std,hatchback,3.54,21.0,9.31,2658.0,,fwd,front,121.0,ohc,mpfi,gas,,56.1,28.0,110.0,1.2365398163348955,saab,150.0,four,two,5250.0,11850.0,Low,3.07,3.0,99.1,66.5
std,sedan,3.54,21.0,9.3,2695.0,,fwd,front,121.0,ohc,mpfi,gas,,56.1,28.0,110.0,1.2365398163348955,saab,104.0,four,four,5250.0,12170.0,Low,3.07,2.0,99.1,66.5
std,hatchback,2.54,21.0,9.3,2707.0,,fwd,front,121.0,ohc,mpfi,gas,,56.1,28.0,110.0,1.2365398163348955,saab,150.0,four,two,5250.0,15040.0,Low,2.07,3.0,99.1,66.5
std,sedan,3.54,21.0,9.3,2758.0,,fwd,front,121.0,ohc,mpfi,gas,,56.1,28.0,110.0,1.2365398163348955,saab,104.0,four,four,5250.0,15510.0,Medium,3.07,2.0,99.1,66.5
turbo,hatchback,3.54,19.0,9.0,2808.0,,fwd,front,121.0,dohc,mpfi,gas,,56.1,26.0,160.0,1.2365398163348955,saab,150.0,four,two,5500.0,18150.0,Medium,3.07,3.0,99.1,66.5
turbo,sedan,3.54,19.0,9.0,2847.0,,fwd,front,121.0,dohc,mpfi,gas,,56.1,26.0,160.0,1.2365398163348955,saab,104.0,four,four,5500.0,18620.0,Medium,3.07,2.0,99.1,66.5
std,hatchback,3.62,31.0,9.0,2050.0,,fwd,front,97.0,ohcf,2bbl,gas,,53.7,36.0,69.0,-1.335142623694604,subaru,83.0,four,two,4900.0,5118.0,Low,2.36,2.0,93.7,63.4
std,hatchback,3.62,26.0,8.7,2120.0,,fwd,front,108.0,ohcf,2bbl,gas,,53.7,31.0,73.0,-1.2485539893501763,subaru,83.0,four,two,4400.0,7053.0,Low,2.64,2.0,93.7,63.6
std,hatchback,3.62,26.0,8.7,2240.0,,4wd,front,108.0,ohcf,2bbl,gas,,55.7,31.0,73.0,-1.3005071699568325,subaru,83.0,four,two,4400.0,7603.0,Low,2.64,2.0,93.3,63.8
std,sedan,3.62,32.0,9.5,2145.0,,fwd,front,108.0,ohcf,2bbl,gas,,52.5,37.0,82.0,-0.02765424509374734,subaru,102.0,four,four,4800.0,7126.0,Low,2.64,0.0,97.2,65.4
std,sedan,3.62,28.0,9.5,2190.0,,fwd,front,108.0,ohcf,2bbl,gas,,52.5,33.0,82.0,-0.02765424509374734,subaru,102.0,four,four,4400.0,7775.0,Low,2.64,0.0,97.2,65.4
std,sedan,3.62,26.0,9.0,2340.0,,fwd,front,108.0,ohcf,mpfi,gas,,52.5,32.0,94.0,-0.02765424509374734,subaru,102.0,four,four,5200.0,9960.0,Low,2.64,0.0,97.2,65.4
std,sedan,3.62,24.0,9.0,2385.0,,4wd,front,108.0,ohcf,2bbl,gas,,54.3,25.0,82.0,-0.02765424509374734,subaru,102.0,four,four,4800.0,9233.0,Low,2.64,0.0,97.0,65.4
turbo,sedan,3.62,24.0,7.7,2510.0,,4wd,front,108.0,ohcf,mpfi,gas,,54.3,29.0,111.0,-0.02765424509374734,subaru,102.0,four,four,4800.0,11259.0,Low,2.64,0.0,97.0,65.4
std,wagon,3.62,28.0,9.0,2290.0,,fwd,front,108.0,ohcf,2bbl,gas,,53.0,32.0,82.0,0.1022287064228941,subaru,89.0,four,four,4800.0,7463.0,Low,2.64,0.0,97.0,65.4
std,wagon,3.62,25.0,9.0,2455.0,,fwd,front,108.0,ohcf,mpfi,gas,,53.0,31.0,94.0,0.1022287064228941,subaru,89.0,four,four,5200.0,10198.0,Low,2.64,0.0,97.0,65.4
std,wagon,3.62,23.0,9.0,2420.0,,4wd,front,108.0,ohcf,2bbl,gas,,54.9,29.0,82.0,0.11088756985733637,subaru,85.0,four,four,4800.0,8013.0,Low,2.64,0.0,96.9,65.4
turbo,wagon,3.62,23.0,7.7,2650.0,,4wd,front,108.0,ohcf,mpfi,gas,,54.9,23.0,111.0,0.11088756985733637,subaru,85.0,four,four,4800.0,11694.0,Low,2.64,0.0,96.9,65.4
std,hatchback,3.05,35.0,9.0,1985.0,,fwd,front,92.0,ohc,2bbl,gas,,54.5,39.0,62.0,-1.1792830818746358,toyota,87.0,four,two,4800.0,5348.0,Low,3.03,1.0,95.7,63.6
std,hatchback,3.05,31.0,9.0,2040.0,,fwd,front,92.0,ohc,2bbl,gas,,54.5,38.0,62.0,-1.1792830818746358,toyota,87.0,four,two,4800.0,6338.0,Low,3.03,1.0,95.7,63.6
std,hatchback,3.05,31.0,9.0,2015.0,,fwd,front,92.0,ohc,2bbl,gas,,54.5,38.0,62.0,-1.1792830818746358,toyota,74.0,four,four,4800.0,6488.0,Low,3.03,1.0,95.7,63.6
std,wagon,3.05,31.0,9.0,2280.0,,fwd,front,92.0,ohc,2bbl,gas,,59.1,37.0,62.0,-0.22680810408593186,toyota,77.0,four,four,4800.0,6918.0,Low,3.03,0.0,95.7,63.6
std,wagon,3.05,27.0,9.0,2290.0,,4wd,front,92.0,ohc,2bbl,gas,,59.1,32.0,62.0,-0.22680810408593186,toyota,81.0,four,four,4800.0,7898.0,Low,3.03,0.0,95.7,63.6
std,wagon,3.05,27.0,9.0,3110.0,,4wd,front,92.0,ohc,2bbl,gas,,59.1,32.0,62.0,-0.22680810408593186,toyota,91.0,four,four,4800.0,8778.0,Low,3.03,0.0,95.7,63.6
std,sedan,3.19,30.0,9.0,2081.0,,fwd,front,98.0,ohc,2bbl,gas,,53.0,37.0,70.0,-0.5212094608569838,toyota,91.0,four,four,4800.0,6938.0,Low,3.03,0.0,95.7,64.4
std,hatchback,3.19,30.0,9.0,2109.0,,fwd,front,98.0,ohc,2bbl,gas,,52.8,37.0,70.0,-0.5212094608569838,toyota,91.0,four,four,4800.0,7198.0,Low,3.03,0.0,95.7,64.4
std,sedan,3.27,34.0,22.5,2275.0,,fwd,front,110.0,ohc,idi,diesel,,53.0,36.0,56.0,-0.5212094608569838,toyota,91.0,four,four,4500.0,7898.0,Low,3.35,0.0,95.7,64.4
std,hatchback,3.27,38.0,22.5,2275.0,,fwd,front,110.0,ohc,idi,diesel,,52.8,47.0,56.0,-0.5212094608569838,toyota,91.0,four,four,4500.0,7788.0,Low,3.35,0.0,95.7,64.4
std,sedan,3.19,38.0,9.0,2094.0,,fwd,front,98.0,ohc,2bbl,gas,,53.0,47.0,70.0,-0.5212094608569838,toyota,91.0,four,four,4800.0,7738.0,Low,3.03,0.0,95.7,64.4
std,hatchback,3.19,28.0,9.0,2122.0,,fwd,front,98.0,ohc,2bbl,gas,,52.8,34.0,70.0,-0.5212094608569838,toyota,91.0,four,four,4800.0,8358.0,Low,3.03,0.0,95.7,64.4
std,sedan,3.19,28.0,9.0,2140.0,,fwd,front,98.0,ohc,2bbl,gas,,52.8,34.0,70.0,-0.5212094608569838,toyota,91.0,four,four,4800.0,9258.0,Low,3.03,0.0,95.7,64.4
std,sedan,3.19,29.0,9.0,2169.0,,rwd,front,98.0,ohc,2bbl,gas,,52.6,34.0,70.0,-0.3133967384303595,toyota,168.0,four,two,4800.0,8058.0,Low,3.03,1.0,94.5,64.0
